CellCLI> LIST GRIDDISK ATTRIBUTES name, asmmodestatus
	 BANKBU_DBFS01_01_CD_SC01_CEL03	 ONLINE
	 RECO39_CD_04_sc01_cel03       	 ONLINE
	 RECO39_CD_05_sc01_cel03       	 ONLINE
	 RECO39_CD_06_sc01_cel03       	 ONLINE
	 RECO39_CD_07_sc01_cel03       	 ONLINE
	 RECO39_CD_08_sc01_cel03       	 ONLINE
	 RECO39_CD_09_sc01_cel03       	 ONLINE
	 RECO39_CD_10_sc01_cel03       	 ONLINE
	 RECO39_CD_11_sc01_cel03       	 ONLINE
	 RECO40_CD_00_sc01_cel03       	 ONLINE
	 RECO40_CD_01_sc01_cel03       	 ONLINE
	 RECO40_CD_02_sc01_cel03       	 ONLINE
	 RECO40_CD_03_sc01_cel03       	 ONLINE
	 RECO40_CD_04_sc01_cel03       	 ONLINE
	 RECO40_CD_05_sc01_cel03       	 ONLINE
	 RECO40_CD_06_sc01_cel03       	 ONLINE
	 RECO40_CD_07_sc01_cel03       	 ONLINE
	 RECO40_CD_08_sc01_cel03       	 ONLINE
	 RECO40_CD_09_sc01_cel03       	 ONLINE
	 RECO40_CD_10_sc01_cel03       	 ONLINE
	 RECO40_CD_11_sc01_cel03       	 ONLINE

CellCLI> 
